product_id,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english
732bd381ad09e530fe0a5f457d81becb,56.0,1272.0,4.0,18350.0,70.0,24.0,44.0,cool_stuff
7a8dac4aaa16bc642e4df33adcf03303,38.0,1701.0,2.0,11750.0,18.0,40.0,79.0,cool_stuff
5f504b3a1c75b73d6151be81eb05bdc9,38.0,1176.0,3.0,15350.0,47.0,40.0,47.0,cool_stuff
b5cfb1d3c5e435a7a52227e08f220ee7,55.0,410.0,2.0,1300.0,36.0,16.0,24.0,cool_stuff
fdeb34a9f03fea7c3937dd62d1d0287e,58.0,1252.0,1.0,1100.0,30.0,20.0,23.0,cool_stuff
575c38b4c88fc7b35ef22fc8312bfe1b,57.0,992.0,3.0,1200.0,44.0,20.0,20.0,cool_stuff
bcd58b852a3b0152b6b384c4e4474ba2,59.0,797.0,2.0,1400.0,25.0,20.0,20.0,cool_stuff
701ff123e9085dcc9c2f833efded6374,50.0,268.0,5.0,10664.0,61.0,63.0,35.0,cool_stuff
4e7f36f28c51e114a343625b628dd429,42.0,727.0,1.0,400.0,24.0,16.0,14.0,cool_stuff
78119fbfa709d07b86f5ccf15043c6d6,43.0,447.0,2.0,586.0,18.0,11.0,13.0,cool_stuff
6c3fc3c928cf7d57418923ffea326d9a,49.0,733.0,3.0,800.0,42.0,25.0,15.0,cool_stuff
ef6aa884e3493fd38cc8ee47d8d79d10,47.0,1392.0,1.0,150.0,16.0,7.0,12.0,cool_stuff
93719014f156d3fa9e0511cd0ab96315,34.0,443.0,7.0,1150.0,28.0,10.0,25.0,cool_stuff
f86faff2fff9d021e363dc81bfd16930,53.0,304.0,1.0,900.0,25.0,10.0,25.0,cool_stuff
603751cec205d947f27ef1ab32b7fb26,22.0,683.0,3.0,700.0,20.0,20.0,20.0,cool_stuff
1a986b4015f20a3c26d8573a46dcf65e,46.0,269.0,1.0,300.0,34.0,5.0,27.0,cool_stuff
d806210810eb8942d0ea5b17967bb1c4,59.0,988.0,1.0,1635.0,23.0,30.0,17.0,cool_stuff
37c8b2425c9c0455491b06ad8671c224,57.0,1255.0,4.0,198.0,17.0,9.0,15.0,cool_stuff
984a3b9f9bb4c8feb319da951212696e,20.0,740.0,1.0,50.0,40.0,30.0,50.0,cool_stuff
84db874a1a2d895b0eece26cc9bb3dd3,55.0,418.0,2.0,1250.0,36.0,16.0,24.0,cool_stuff
0de11423be68ad641c9be1135450074c,63.0,877.0,6.0,7000.0,22.0,52.0,27.0,cool_stuff
c8149a123a4dccdd873b3de1e7867bba,51.0,425.0,1.0,250.0,16.0,12.0,11.0,cool_stuff
5657897eec3381c5a9aaf19be83f16e2,35.0,377.0,2.0,500.0,19.0,17.0,25.0,cool_stuff
73c15f15e628e4ec389e0ed1cec48b15,45.0,3033.0,5.0,12400.0,35.0,35.0,50.0,cool_stuff
914a1be6110e7ce3289dbf55ec0d9704,58.0,989.0,1.0,2050.0,42.0,25.0,15.0,cool_stuff
17d4764518c5a017b128060439d1559f,44.0,854.0,3.0,1000.0,35.0,28.0,16.0,cool_stuff
af5dce27d2097e3cbfeb25ad9eac092c,52.0,330.0,1.0,1650.0,33.0,44.0,19.0,cool_stuff
dd1b2eb34840957a13204dd3dbc588bd,52.0,673.0,1.0,175.0,30.0,20.0,25.0,cool_stuff
6b1b29dd58c0342e04f9063e070bd6ac,52.0,894.0,1.0,2250.0,34.0,52.0,30.0,cool_stuff
b8fd372c103037c02e9898f76ba0ab4c,35.0,240.0,3.0,130.0,100.0,25.0,35.0,cool_stuff
353f9040451759cc7153da959db1e531,48.0,662.0,2.0,18600.0,38.0,74.0,38.0,cool_stuff
c76ce8f19e21cfc8226f0551ed5da750,54.0,940.0,1.0,1800.0,42.0,25.0,15.0,cool_stuff
